wifi0,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6,wifi7,wifi8,wifi9,wifi10,wifi11,wifi12,wifi13,wifi14,wifi15,wifi16,wifi17,wifi18,wifi19,wifi20,wifi21,wifi22,wifi23,wifi24,wifi25,wifi26,wifi27,wifi28,wifi29,wifi30,wifi31,wifi32,wifi33,wifi34,wifi35,wifi36,wifi37,wifi38,wifi39,wifi40,wifi41,wifi42,wifi43,wifi44,wifi45,wifi46,wifi47,wifi48,wifi49,wifi50,wifi51,wifi52,wifi53,wifi54,wifi55,wifi56,wifi57,wifi58,wifi59,wifi60,wifi61,wifi62,wifi63,wifi64,wifi65,wifi66,wifi67,wifi68,wifi69,wifi70,wifi71,wifi72,wifi73,wifi74,wifi75,wifi76,wifi77,wifi78,wifi79,wifi80,wifi81,wifi82,wifi83,wifi84,wifi85,wifi86,wifi87,wifi88,wifi89,wifi90,wifi91,wifi92,wifi93,wifi94,wifi95,wifi96,wifi97,wifi98,wifi99,wifi100,wifi101,wifi102,wifi103,wifi104,wifi105,wifi106,wifi107,wifi108,wifi109,wifi110,wifi111,wifi112,wifi113,wifi114,wifi115,wifi116,wifi117,wifi118,wifi119,wifi120,wifi121,wifi122,wifi123,wifi124,wifi125,wifi126,wifi127,wifi128,wifi129,wifi130,wifi131,wifi132,wifi133,wifi134,wifi135,wifi136,wifi137,wifi138,wifi139,wifi140,wifi141,wifi142,wifi143,wifi144,wifi145,wifi146,wifi147,wifi148,wifi149,wifi150,wifi151,wifi152,wifi153,wifi154,wifi155,wifi156,wifi157,wifi158,wifi159,wifi160,wifi161,wifi162,wifi163,wifi164,wifi165,wifi166,wifi167,wifi168,wifi169,wifi170,wifi171,wifi172,wifi173,wifi174,wifi175,wifi176,wifi177,wifi178,wifi179,wifi180,wifi181,wifi182,wifi183,wifi184,wifi185,wifi186,wifi187,wifi188,wifi189,wifi190,wifi191,wifi192,wifi193,wifi194,wifi195,wifi196,wifi197,wifi198,wifi199,wifi200,wifi201,wifi202,wifi203,wifi204,wifi205,wifi206,wifi207,wifi208,wifi209,wifi210,wifi211,wifi212,wifi213,wifi214,wifi215,wifi216,wifi217,wifi218,wifi219,wifi220,wifi221,wifi222,wifi223,wifi224,wifi225,wifi226,wifi227,wifi228,wifi229,wifi230,wifi231,wifi232,wifi233,wifi234,wifi235,wifi236,wifi237,wifi238,wifi239,wifi240,wifi241,wifi242,wifi243,wifi244,wifi245,wifi246,wifi247,wifi248,wifi249,wifi250,wifi251,wifi252,wifi253,wifi254,wifi255,wifi256,wifi257,wifi258,wifi259,wifi260,wifi261,wifi262,wifi263,wifi264,wifi265,wifi266,wifi267,wifi268,wifi269,wifi270,wifi271,wifi272,wifi273,wifi274,wifi275,wifi276,wifi277,wifi278,wifi279,wifi280,wifi281,wifi282,wifi283,wifi284,wifi285,wifi286,wifi287,wifi288,wifi289,wifi290,wifi291,wifi292,wifi293,wifi294,wifi295,wifi296,wifi297,wifi298,wifi299,wifi300,wifi301,wifi302,wifi303,wifi304,wifi305,wifi306,wifi307,wifi308,wifi309,wifi310,wifi311,wifi312,wifi313,wifi314,wifi315,wifi316,wifi317,wifi318,wifi319,wifi320,wifi321,wifi322,wifi323,wifi324,wifi325,wifi326,wifi327,wifi328,wifi329,wifi330,wifi331,wifi332,wifi333,wifi334,wifi335,wifi336,wifi337,wifi338,wifi339,wifi340,wifi341,wifi342,wifi343,wifi344,wifi345,wifi346,wifi347,wifi348,wifi349,wifi350,wifi351,wifi352,wifi353,wifi354,wifi355,wifi356,wifi357,wifi358,wifi359,wifi360,wifi361,wifi362,wifi363,wifi364,wifi365,wifi366,wifi367,wifi368,wifi369,wifi370,wifi371,wifi372,wifi373,wifi374,wifi375,wifi376,wifi377,wifi378,wifi379,wifi380,wifi381,wifi382,wifi383,wifi384,wifi385,wifi386,wifi387,wifi388,wifi389,wifi390,wifi391,wifi392,wifi393,wifi394,wifi395,wifi396,wifi397,wifi398,wifi399,wifi400,wifi401,wifi402,wifi403,wifi404,wifi405,wifi406,wifi407,wifi408,wifi409,wifi410,wifi411,wifi412,wifi413
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-87,100,100,-87,-87,100,-90,100,-87,-87,-88,100,100,100,-69,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,-66,-67,100,-67,-68,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,-72,-70,-82,100,-51,100,100,-63,100,-87,-85,100,100,100,-79,100,100,100,100,100,100,-87,-54,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-73,-88,-62,-89,-88,-88,-91,100,100,-87,-83,-86,-85,-85,100,100,100,-90,-85,-84,-86,100,100,-79,-78,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-87,100,100,-87,-87,100,-90,100,-87,-87,-88,100,100,100,-79,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-73,100,-73,-70,-88,-85,100,100,100,100,100,100,100,100,100,100,100,100,-77,-74,-82,-89,-45,100,100,-67,100,-87,-85,100,100,100,-79,-86,100,100,100,100,100,-87,-62,100,-83,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-60,-73,-88,-60,-89,-88,-88,-91,100,100,-74,-82,-80,-81,-85,-85,-86,100,-86,-83,-84,-86,100,-82,-77,-78,-81,100,100,100,100,-86,-86,100,-86,100,100,-81,-86,-91,100,100,100,-81,100,-90,100,100,-87,100,100,-89,-90,100,-81,-81,100,100,100,100,100,-87,-80,100,100,100,100,100,100,100,100,100,100,-86,-87,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-87,100,100,-87,-87,100,-90,100,-87,-87,-88,100,100,100,-79,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-73,100,-73,-70,-88,-85,100,100,100,100,100,100,100,100,100,100,100,100,-77,-74,-82,-89,-45,100,100,-67,100,-87,-85,100,100,100,-79,-86,100,100,100,100,100,-87,-62,100,-83,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-60,-73,-88,-60,-89,-88,-88,-91,100,100,-74,-82,-80,-81,-85,-85,-86,100,-86,-83,-84,-86,100,-82,-77,-78,-81,100,100,100,100,-86,-86,100,-86,100,100,-81,-86,-91,100,100,100,-81,100,-90,100,100,-87,100,100,-89,-90,100,-81,-81,100,100,100,100,100,-87,-80,100,100,100,100,100,100,100,100,100,100,-86,-87,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-87,100,100,-87,-87,100,-90,100,-87,-87,-88,100,100,100,-79,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-73,100,-73,-70,-88,-85,100,100,100,100,100,100,100,100,100,100,100,100,-77,-74,-82,-89,-45,100,100,-67,100,-87,-85,100,100,100,-79,-86,100,100,100,100,100,-87,-62,100,-83,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-60,-73,-88,-60,-89,-88,-88,-91,100,100,-74,-82,-80,-81,-85,-85,-86,100,-86,-83,-84,-86,100,-82,-77,-78,-81,100,100,100,100,-86,-86,100,-86,100,100,-81,-86,-91,100,100,100,-81,100,-90,100,100,-87,100,100,-89,-90,100,-81,-81,100,100,100,100,100,-87,-80,100,100,100,100,100,100,100,100,100,100,-86,-87,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,-87,100,100,-87,-88,100,-90,100,-87,-86,-88,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,100,-71,-75,-88,-85,100,100,100,-88,100,100,100,100,100,100,100,100,-79,-74,100,-84,-54,100,100,-72,100,100,100,100,100,100,-79,-82,100,100,100,100,100,100,-70,100,-83,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-59,-90,-88,-60,-89,-88,-88,-91,100,100,-74,-78,-78,-78,-85,-84,-83,100,-84,-79,-84,-86,100,-82,-77,-78,-81,100,100,-85,100,-84,-82,100,-84,-89,100,-81,-82,-91,-89,-77,-76,-81,100,-88,100,100,-87,-88,-87,-90,-88,-78,-78,-81,100,100,100,100,100,-83,-79,-79,100,100,100,100,100,100,100,100,100,-86,-87,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-85,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,-86,-86,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,-87,100,100,-87,-88,100,-90,100,-87,-86,-88,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,100,-71,-75,-88,-85,100,100,100,-88,100,100,100,100,100,100,100,100,-79,-74,100,-84,-54,100,100,-72,100,100,100,100,100,100,-79,-82,100,100,100,100,100,100,-70,100,-83,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-59,-90,-88,-60,-89,-88,-88,-91,100,100,-74,-78,-78,-78,-85,-84,-83,100,-84,-79,-84,-86,100,-82,-77,-78,-81,100,100,-85,100,-84,-82,100,-84,-89,100,-81,-82,-91,-89,-77,-76,-81,100,-88,100,100,-87,-88,-87,-90,-88,-78,-78,-81,100,100,100,100,100,-83,-79,-79,100,100,100,100,100,100,100,100,100,-86,-87,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-85,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,-86,-86,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,-87,100,100,-87,-88,100,-90,100,-87,-86,-88,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,100,-71,-75,-88,-85,100,100,100,-88,100,100,100,100,100,100,100,100,-79,-74,100,-84,-54,100,100,-72,100,100,100,100,100,100,-79,-82,100,100,100,100,100,100,-70,100,-83,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-59,-90,-88,-60,-89,-88,-88,-91,100,100,-74,-78,-78,-78,-85,-84,-83,100,-84,-79,-84,-86,100,-82,-77,-78,-81,100,100,-85,100,-84,-82,100,-84,-89,100,-81,-82,-91,-89,-77,-76,-81,100,-88,100,100,-87,-88,-87,-90,-88,-78,-78,-81,100,100,100,100,100,-83,-79,-79,100,100,100,100,100,100,100,100,100,-86,-87,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-85,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,-86,-86,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,-87,100,100,-87,-88,100,-90,100,-91,-86,-90,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,-82,-71,-75,-83,-85,100,-83,100,-84,-83,100,-83,100,100,100,100,100,-79,-74,100,-84,-66,100,100,-72,100,100,100,100,100,100,-79,-85,100,100,100,100,100,100,-75,100,-83,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-68,-90,-88,-67,-89,-88,-88,-91,100,100,-76,-80,-81,-81,-85,-87,-86,-73,-86,-81,-84,-86,100,-82,-73,-74,-79,100,100,-85,100,-84,-82,100,-85,-90,100,-82,-86,-89,-88,-78,-78,-79,100,-87,100,100,-87,-87,-88,-88,-88,-78,-78,-77,100,-77,100,100,100,-88,-79,-79,100,100,100,100,100,-83,-80,-76,-76,-84,-85,100,100,-84,100,100,-80,100,100,100,100,100,100,100,100,100,100,-84,-85,100,-79,100,100,-79,100,100,100,100,100,100,-80,-89,100,-76,-77,100,-83,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,-49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-79,-86,-86,100,100,100,100,100,100,100,100,-91,-79,-79,100,100,100,-87,100,-84,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,-80,100,-78,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,-87,100,100,-87,-88,100,-90,100,-91,-86,-90,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,-82,-71,-75,-83,-85,100,-83,100,-84,-83,100,-83,100,100,100,100,100,-79,-74,100,-84,-66,100,100,-72,100,100,100,100,100,100,-79,-85,100,100,100,100,100,100,-75,100,-83,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-68,-90,-88,-67,-89,-88,-88,-91,100,100,-76,-80,-81,-81,-85,-87,-86,-73,-86,-81,-84,-86,100,-82,-73,-74,-79,100,100,-85,100,-84,-82,100,-85,-90,100,-82,-86,-89,-88,-78,-78,-79,100,-87,100,100,-87,-87,-88,-88,-88,-78,-78,-77,100,-77,100,100,100,-88,-79,-79,100,100,100,100,100,-83,-80,-76,-76,-84,-85,100,100,-84,100,100,-80,100,100,100,100,100,100,100,100,100,100,-84,-85,100,-79,100,100,-79,100,100,100,100,100,100,-80,-89,100,-76,-77,100,-83,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,-49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-79,-86,-86,100,100,100,100,100,100,100,100,-91,-79,-79,100,100,100,-87,100,-84,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,-80,100,-78,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,-87,100,100,-87,-88,100,-90,100,-91,-86,-90,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,-82,-71,-75,-83,-85,100,-83,100,-84,-83,100,-83,100,100,100,100,100,-79,-74,100,-84,-66,100,100,-72,100,100,100,100,100,100,-79,-85,100,100,100,100,100,100,-75,100,-83,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-68,-90,-88,-67,-89,-88,-88,-91,100,100,-76,-80,-81,-81,-85,-87,-86,-73,-86,-81,-84,-86,100,-82,-73,-74,-79,100,100,-85,100,-84,-82,100,-85,-90,100,-82,-86,-89,-88,-78,-78,-79,100,-87,100,100,-87,-87,-88,-88,-88,-78,-78,-77,100,-77,100,100,100,-88,-79,-79,100,100,100,100,100,-83,-80,-76,-76,-84,-85,100,100,-84,100,100,-80,100,100,100,100,100,100,100,100,100,100,-84,-85,100,-79,100,100,-79,100,100,100,100,100,100,-80,-89,100,-76,-77,100,-83,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,-49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-79,-86,-86,100,100,100,100,100,100,100,100,-91,-79,-79,100,100,100,-87,100,-84,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,-80,100,-78,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,-87,100,100,-87,-88,100,-90,100,-91,-86,-90,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,-82,-71,-72,-83,-85,100,-83,-86,-83,-83,100,-83,100,100,100,100,100,-71,-74,-85,-84,-66,100,100,-83,100,100,-70,100,100,100,100,-85,100,100,100,100,100,-87,-77,100,100,100,-85,100,100,-63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-90,-89,-67,100,-88,-88,-88,100,100,-76,-75,-76,-76,100,-85,-84,-73,-84,-76,100,100,100,-82,-73,-74,-79,100,100,-85,100,-84,-85,100,-85,-90,100,-86,-86,-89,-88,-78,-78,-79,100,-87,100,100,-87,-87,-88,-88,-88,-78,-78,-76,100,-77,100,-85,-85,-88,-79,-79,100,100,100,100,100,-83,-80,-77,-77,-84,-85,-86,-86,-84,-88,-87,-80,100,100,100,100,100,100,100,100,-86,100,-84,-85,100,-77,100,100,-79,100,100,100,100,100,100,-81,-89,100,-76,-77,100,-83,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,-54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-79,-86,-86,100,100,100,100,100,100,100,100,-91,-79,-79,100,100,100,-87,100,-84,100,100,100,-87,-84,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,-80,100,-78,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,-87,100,100,-87,-88,100,-90,100,-91,-86,-90,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,-82,-71,-72,-83,-85,100,-83,-86,-83,-83,100,-83,100,100,100,100,100,-71,-74,-85,-84,-66,100,100,-83,100,100,-70,100,100,100,100,-85,100,100,100,100,100,-87,-77,100,100,100,-85,100,100,-63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-90,-89,-67,100,-88,-88,-88,100,100,-76,-75,-76,-76,100,-85,-84,-73,-84,-76,100,100,100,-82,-73,-74,-79,100,100,-85,100,-84,-85,100,-85,-90,100,-86,-86,-89,-88,-78,-78,-79,100,-87,100,100,-87,-87,-88,-88,-88,-78,-78,-76,100,-77,100,-85,-85,-88,-79,-79,100,100,100,100,100,-83,-80,-77,-77,-84,-85,-86,-86,-84,-88,-87,-80,100,100,100,100,100,100,100,100,-86,100,-84,-85,100,-77,100,100,-79,100,100,100,100,100,100,-81,-89,100,-76,-77,100,-83,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,-54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-79,-86,-86,100,100,100,100,100,100,100,100,-91,-79,-79,100,100,100,-87,100,-84,100,100,100,-87,-84,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,-80,100,-78,100,100,100
